video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=9Ic0klFqawU&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@DWTravel,DW Travel,Winter Sports: How Climate Change Is Affecting Ski Resorts,6.4K,1 day,"The Alps have always been a safe bet for skiers—until now. As a consequence of climate change, there is less snow, and slopes ...",2024-01-29 19:46:36.861566
/watch?v=X3imskGGXtw&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@NBCNews,NBC News,Study shows flooding in San Diego amplified by climate change,23K,2 days,"Severe flooding that is occurring in many places in the U.S., like San Diego, California, are being amplified by climate change, ...",2024-01-29 19:46:36.868419
/watch?v=dcBXmj1nMTQ&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@aljazeeraenglish,Al Jazeera English,What is Climate Change? | Start Here,1.4M,4 years,"The hard facts about global warming - a defining issue of our time. Climate change is happening now, and even world leaders ...",2024-01-29 19:46:36.870689
/watch?v=pEt6-jA2UE4&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@DWDocumentary,DW Documentary,Climate change - Averting catastrophe | DW Documentary,2.1M,6 months,"In the last 30 years, CO2 emissions have increased by 60 percent worldwide. The most pressing problem facing our civilization is ...",2024-01-29 19:46:36.878439
/watch?v=EtW2rrLHs08&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@NatGeo,National Geographic,Climate Change 101 with Bill Nye | National Geographic,2.8M,8 years,About National Geographic's 101 Series: Explore and experience the forces that shape the world around us. Get More National ...,2024-01-29 19:46:36.882074
/watch?v=wkqDJwTIg_E&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@pbsterra,PBS Terra,"Earth's Temperature Has Changed WILDLY, So What's the Big Deal About a Few Degrees?",140K,1 month,"If you take a look at global temperature graphs that span millions or billions of years, you can see that our planet's temperature ...",2024-01-29 19:46:43.988803
/watch?v=LxgMdjyw8uw&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,We WILL Fix Climate Change!,10M,1 year,Our home is burning. Rapid climate change is destabilizing our world. It seems our emissions will not fall quickly enough to avoid ...,2024-01-29 19:46:43.999961
/watch?v=gX3vtpUqwk8&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@ADDvanced,ADDvanced,WORST SEASON EVER:  The Future of Snowmobiling & Climate Change,2.7K,1 day,Will snowmobiling have a future? While I sit around watching all of our snow melt in one of the worst snowmobiling seasons in ...,2024-01-29 19:46:44.009378
/watch?v=J1KGnCj_cfM&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@SabineHossenfelder,Sabine Hossenfelder,How do we know climate change is caused by humans?,231K,4 days,In this video I summarize the main pieces of evidence that we have which show that climate change is caused by humans. This is ...,2024-01-29 19:46:44.012487
/watch?v=QlQ-MEZgRGY&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@environmentcan,Environment and Climate Change Canada,What is Climate Change?,322K,2 years,Everyone's talking about climate change but what is our climate? And why is it changing? Our climate has been changing much ...,2024-01-29 19:46:44.015979
